Sample;Group;met_01;met_02;met_03;met_04;met_05;met_06;met_07;met_08;met_09;met_10;met_11;met_12;met_13;met_14;met_15;met_16;met_17;met_18;met_19;met_20;met_21;met_22;met_23;met_24;met_25;met_26;met_27;met_28;met_29;met_30;met_31;met_32;met_33;met_34
A_R6_I;A_R6;-0.758396942;0.046201044;-1.101929781;-0.137721095;-0.986771517;-0.968139559;-1.019689969;-0.199126231;-0.754438392;-0.446497637;-0.586092551;-0.581655727;-1.120501181;-0.888004013;-1.254760578;-1.18053701;-1.172278152;-1.226907648;-0.902319803;-1.185139936;-1.086856785;-0.766187495;-1.224282993;-1.279093274;-1.206665777;-1.027503649;-1.642343949;-1.097029815;-1.088333961;-0.966582486;-1.352871154;-1.268837954;-1.036357247;-0.948425971
A_R6_II;A_R6;-0.523794943;0.022879536;0.136213693;0.311382013;-0.588432376;-0.584568086;-0.587973704;0.044516107;-0.437603979;-1.013189728;-0.93601301;-0.746254476;0.640619147;-0.580173321;-1.256599299;-1.424837145;-1.161233764;-1.012111925;-1.225954518;-1.374234184;-1.198866224;-0.874752428;-1.325173039;-1.391400961;-1.236303438;-1.090050559;-1.642343949;-1.327909925;-1.231278452;-0.868836267;-1.645167832;-1.202917955;-0.10724804;-0.760463676
A_R6_III;A_R6;0.796701862;0.805457963;0.822910935;0.979368516;0.291843636;-0.062372284;0.197255512;0.563124134;1.942475069;-0.593189063;-0.323771135;-1.115646181;-1.416392722;-0.709318072;-1.186193217;-1.096539527;-1.184297867;-1.076605654;-0.737572906;-1.225295411;-1.134001793;-0.81581096;-1.218685327;-1.301421335;-1.212904812;-1.046109305;-1.642343949;-1.156986654;-1.016497812;-1.034254748;-1.156235784;-1.24740766;1.163259332;-0.061538751
B_R6_I;B_R6;-0.229924746;0.957322956;0.291933309;-0.703572647;-0.150068873;-0.503024933;-0.391230139;0.177649294;0.625814781;0.195745657;-0.988768745;0.36272654;-0.5142164;-0.746747955;0.193832003;-0.336150101;0.136243245;-0.507149947;-0.126154473;-0.250000223;0.261915958;-0.348544959;-0.020915553;-0.334759858;0.132175349;0.1179501;-0.081018503;-0.149499625;-0.104521196;-0.175347946;0.388357497;-0.133178339;-0.353663593;-0.657079336
B_R6_II;B_R6;-0.466437061;1.18579332;0.019299421;-0.409720057;-0.31968706;0.061464646;-0.818374562;-0.158433484;-1.004039328;0.82830419;-1.511356603;-0.547727472;-0.507862432;-0.504527517;1.281353924;0.699410257;-0.004956043;0.949125862;0.454773071;0.860502975;0.968400339;-0.036216543;1.353110252;1.169981117;0.87885751;0.141216801;0.577079748;0.613283631;0.881239273;0.309180179;0.551310264;0.639336251;-0.472705341;-0.699377159
B_R6_III;B_R6;-1.183277972;-1.604154671;-1.334485983;-0.662474913;-1.468156513;-0.794718714;-0.923212416;-1.343632164;-0.91585469;0.466173317;-0.92527127;-0.588665049;-0.849697385;-0.452955549;-0.575738716;-0.289290713;-0.487441675;-0.2205596;-0.167194781;0.038396236;-0.281595245;-0.327748737;0.13180603;-0.175532649;-0.094125401;-0.408199355;0.043333447;-0.007419183;0.053296466;2.109274286;-0.103508155;-0.335099799;-1.68382652;-1.099284089
C_R6_I;C_R6;-1.159165291;-0.261617217;-0.744078328;-0.850363761;-1.246833772;-0.873038023;-0.969110437;-1.033427322;0.528833706;-0.231406093;-0.737464075;-0.136746949;-0.466318323;-0.575419854;0.109820081;-0.32798919;0.105199204;-0.143326432;0.247659186;-0.198886679;-0.227362481;-0.232631981;0.096161745;-0.239900936;-0.018157757;0.123616354;0.090160159;-0.046850766;0.061119016;0.43678524;-0.40907181;-0.12620275;-1.463621859;-1.060670917
C_R6_II;C_R6;-0.956845336;0.32107552;-0.217963882;-0.858938923;-1.266943784;-0.97000312;-0.868021169;-0.863775747;-1.390176349;-0.698569474;-0.610455828;-0.494944833;-1.034926584;-0.864584387;-0.901958038;-0.943526537;-0.995992031;-1.035765326;-1.517075896;-0.793160055;-0.804831091;-0.487840228;-0.949337347;-0.925808806;-0.874999383;-0.86685097;-0.661316969;-0.759087159;-0.918400344;-0.860442271;-0.679044161;-0.998072483;-1.058664502;-0.997634036
C_R6_III;C_R6;0.013850192;0.621382467;0.182133359;-0.034132572;-0.577593765;-0.701655866;-0.707655623;-0.95865277;-0.731175558;-0.276270789;0.61117203;0.141864906;-0.530333964;-0.214552575;-0.258882621;-0.219604294;-0.615025442;-0.069233863;-0.557967672;-0.297056282;-0.126077858;0.003279431;-0.157963914;0.122918125;0.09354277;-0.040058002;0.316727424;0.159115857;0.072942605;-0.239860878;0.329124354;-0.313114116;-0.031640824;-0.282499466
D_R6_I;D_R6;0.35925195;0.978247076;0.52216759;-0.774907368;-1.074835059;-0.733572251;-0.777723917;-0.943917286;-1.158026266;-3.000880643;-0.600940632;0.470206266;1.07482543;0.699180464;0.017160943;0.580242603;1.27815852;0.364823945;0.411211887;-0.106301029;0.02697744;0.50063387;-0.077782396;0.275153869;-0.017065987;0.264604875;0.353381427;0.053907387;-0.137963887;-0.24944501;0.748546072;0.429093313;0.019098661;-0.892415992
